name,city,state,country,address,Longitude,Latitude,Municipalities,Website
Saint Mary Pool Lone Graves,Murnpeowie, South Australia, Australia,"Strzelecki Track Murnpeowie, Pastoral Unincorporated Area, South Australia, 5731 Australia",139.41482,-29.57847, Pastoral Unincorporated Area,
Forster Cemetery,Forster, New South Wales, Australia,"19 Strand Street Forster, New South Wales, 2428 Australia",152.5219560438,-32.187696809665,,
Forty Bends Cemetery,South Bowenfels, New South Wales, Australia,"LOT 1 Great Western Hwy South Bowenfels, New South Wales, 2790 Australia",150.143,-33.52,,
Forster (Angel Close) Cemetery,Forster, New South Wales, Australia,"19 Angel Close Forster, New South Wales, 2428 Australia",152.5168125822,-32.19905890976,,
Finley Cemetery,Finley, New South Wales, Australia,"93 Tongs St Finley, New South Wales, 2713 Australia",145.564127,-35.646904,,
Frederickton Cemetery,Frederickton, New South Wales, Australia,"1-43 Yarrabandinni Rd Frederickton, New South Wales, 2440 Australia",152.877674,-31.033501,,
Fingal Head Cemetery,Tweed Heads, New South Wales, Australia,"1 Letitia Road Tweed Heads, New South Wales, 2487 Australia",153.563937931213,-28.1949311441196,,
Saint John Cemetery,St Johns, South Australia, Australia,"717 St Johns Rd enter from Reformatory Rd St Johns, Light, South Australia, 5373 Australia",138.95139,-34.37033, Light,
Forbes Cemetery,Forbes, New South Wales, Australia,"LOT 7030 Edward St Forbes, New South Wales, 2871 Australia",147.994884,-33.37146,,
"Saint Paul (Anglican) Church, Adelaide",Adelaide, South Australia, Australia,"Flinders Street Adelaide, Adelaide City Council, South Australia, 5000 Australia",138.60621,-34.92661, Adelaide City Council,
Rudall Cemetery,Rudall, South Australia, Australia,"Lot 87 Govt. Rd off Birdseye Hwy Rudall, Jervois, South Australia, 5642 Australia",136.260316,-33.690457, Jervois,
Saint Kitts (Saint Peter) Lutheran Cemetery,St Kitts, South Australia, Australia,"630 St Kitts West Rd cnr Tablelands Rd St Kitts, Light, South Australia, 5356 Australia",139.08109,-34.35627, Light,
Roxby Downs Cemetery,Roxby Downs, South Australia, Australia,"Opal Road Roxby Downs, Municipal Council of Roxby Downs, South Australia, 5725 Australia",136.886768,-30.551774, Municipal Council of Roxby Downs,
Saint Kitts (Saint Paul) Lutheran Churchyard,Eudunda, South Australia, Australia,"Tableland Road Eudunda, Mid Murray Council, South Australia, 5356 Australia",139.08439,-34.35253, Mid Murray Council,
Roseworthy Cemetery,Wasleys, South Australia, Australia,"Callaghan Rd Wasleys, Gawler, South Australia, 5400 Australia",138.676283,-34.528473, Gawler,
Saint Mary (Saint Mary-on-the-Sturt) Anglican Churchyard,Adelaide, South Australia, Australia,"1163-1167 South Road Adelaide, Adelaide, South Australia, 5042 Australia",138.57564,-34.99628, Adelaide,
Rostrevor Saint Francis Xavier Chapel Crypt,Adelaide, South Australia, Australia,"36 Chapel Way Adelaide, Adelaide, South Australia, 5073 Australia",138.69007,-34.89946, Adelaide,
Saddleworth Old/Church of England Cemetery,Saddleworth, South Australia, Australia,"11 Whip St Saddleworth, Light, South Australia, 5413 Australia",138.78541,-34.08414, Light,
Saint Columba Anglican Church and Memorial Garden Hawthorn,Adelaide, South Australia, Australia,"99 Cross Road Adelaide, Adelaide, South Australia, 5062 Australia",138.60369938869,-34.965887390992, Adelaide,
"Saint George Anglican Churchyard, Magill ",Adelaide, South Australia, Australia,"1b Church Street Adelaide, Adelaide, South Australia, 5072 Australia",138.67595,-34.907, Adelaide,
"Saint John (Anglican) Churchyard, Adelaide",Adelaide, South Australia, Australia,"Halifax Street Adelaide, Adelaide City Council, South Australia, 5000 Australia",138.61603,-34.93244, Adelaide City Council,
Saint John Catholic Cemetery,St Johns, South Australia, Australia,"717 St Johns Rd St Johns, Light, South Australia, 5373 Australia",138.95418,-34.37158, Light,
Rowland Flat (Holy Trinity Lutheran) Cemetery,Rowland Flat, South Australia, Australia,"1820 Barossa Valley Way Rowland Flat, Light, South Australia, 5351 Australia",138.92739,-34.58776, Light,
Saddleworth Cemetery,Saddleworth, South Australia, Australia,"965 Saddleworth Rd Saddleworth, Light, South Australia, 5413 Australia 
                         
                    ",138.770847,-34.070583, Light,https://www.claregilbertvalleys.sa.gov.au/page.aspx?cemeteryId=8638&searchString=&u=132&t=cemeterySearch&cemeterySearchMode=results
Saddleworth (Saint Stephen) Catholic Churchyard,Saddleworth, South Australia, Australia,"1863 Barrier Hwy (Lot 457) Saddleworth, Light, South Australia, 5413 Australia",138.78525,-34.07403, Light,
Rosenthal Pioneer / Old Dohse Lutheran Cemetery,Rosedale, South Australia, Australia,"327 Rosedale Road (Lot 20) Rosedale, Adelaide, South Australia, 5350 Australia 
                         
                    ",138.839754,-34.569659, Adelaide,http://www.ozgenonline.com/~forever_remembered/rosenthal_pioneer.htm
Underbool Cemetery,Underbool, Victoria, Australia,"31 Malkin Ave Underbool, Victoria, 3509 Australia",141.809592,-35.179905,,
Vaughan Cemetery,Vaughan, Victoria, Australia,"416 Vaughan-Springs Road Vaughan, Victoria, 3451 Australia",144.20573,-37.14824,,
Upper Yarra Cemetery,Yarra Junction, Victoria, Australia,"2705 Warburton Highway Yarra Junction, Victoria, 3797 Australia 
                         
                    ",145.637647,-37.779012,,https://www.uypct.org.au/
Uniting Church Garden Graveyard,Melbourne, Victoria, Australia,"235 Derrimut Road Melbourne, Wyndham City, Victoria, 3029 Australia",144.683286,-37.873099, Wyndham City,
Ultima Cemetery,Ultima, Victoria, Australia,"Ultima-Culgoa Rd Ultima, Victoria, 3544 Australia",143.262354,-35.482127,,
Tylden Cemetery,Tylden, Victoria, Australia,"74 Cemetery Rd Tylden, Victoria, 3444 Australia",144.419782,-37.323118,,
Tyaak Cemetery,Tyaak, Victoria, Australia,"LOT 145W Strath Creek Road Tyaak, Victoria, 3658 Australia",145.13743352744,-37.218285142404,,
Tyabb Cemetery,Melbourne, Victoria, Australia,"1 Cemetery Road Melbourne, Victoria, 3915 Australia",145.2129,-38.30269,,
Truganina Cemetery,Truganina, Victoria, Australia,"121 Woods Road Truganina, Victoria, 3029 Australia 
                         
                    ",144.71997023544,-37.82557678047,,https://www.gmct.com.au/our-locations/truganina-cemetery
Tungamah (Tharanbegga) Cemetery,Tungamah, Victoria, Australia,"254 Mays Hill Rd Tungamah, Tharanbegga, Victoria, 3728 Australia",145.89474,-36.13276, Tharanbegga,
Tutye Cemetery,Tutye, Victoria, Australia,"Tyalla Rd Tutye, Victoria, 3490 Australia",141.474981,-35.212947,,
Tottington Cemetery,Paradise, Victoria, Australia,"5018 C241 Paradise, Northern Grampians Shire, Victoria Australia",143.1218427,-36.7866728, Northern Grampians Shire,
Trentham Cemetery,Trentham, Victoria, Australia,"Cosmo Road Trentham, Shire of Moorabool, Victoria, 3458 Australia",144.31917,-37.39623, Shire of Moorabool,
Upper Regions (Kornheim) (Wail) Cemetery,Dimboola, Victoria, Australia,"Petschels Rd Dimboola, Victoria, 3414 Australia",142.117503,-36.486355,,
Trafalgar Cemetery,Trafalgar East, Victoria, Australia,"8 Cemetery Rd Trafalgar East, Victoria, 3824 Australia",146.19625,-38.20005,,
Toora Cemetery,Toora, Victoria, Australia,"337 Lower Toora Rd Toora, South Gippsland Shire, Victoria, 3962 Australia 
                         
                    ",146.285024,-38.670608, South Gippsland Shire,http://www.ozgenonline.com/~jodie_duckworth/toora/index.htm
Towaninny Cemetery,Towaninny South, Victoria, Australia,"2656 Charlton-Swan Hill Road Towaninny South, Victoria, 3527 Australia",143.3588,-35.91373,,
Wolfram South Cemetery,Dimbulah, Queensland, Australia,"LOT 9 Wolfram Rd Dimbulah, Queensland, 4872 Australia",144.955458,-17.094752,,
Woodbury Cemetery,Bungundarra, Queensland, Australia,"146 Stones Rd Bungundarra, Queensland, 4703 Australia",150.681154,-23.031341,,
Toongabbie Cemetery,Toongabbie, Victoria, Australia,"LOT 104B Traralgon-Maffra Road Toongabbie, Victoria, 3856 Australia",146.6183,-38.06505,,
Woodford Pioneer Cemetery,Woodford, Queensland, Australia,"1 Wouwa St Woodford, Queensland, 4514 Australia",152.762906746033,-26.9417363420015,,
Tower Hill Cemetery ,Illowa, Victoria, Australia,"21 Fitzgibbons Ln Illowa, Victoria, 3282 Australia",142.38813,-38.3261,,
Wivenhoe Pocket General Cemetery,Wivenhoe Pocket, Queensland, Australia,"39 Deletraz Rd Wivenhoe Pocket, Queensland, 4306 Australia",152.613769,-27.42404,,
Winchester Station lone graves,Albion, Queensland, Australia,"Unnamed Road Albion, Richmond Shire, Queensland, 4822 Australia",142.62245,-21.184929, Richmond Shire,
Wolfram East Cemetery,Dimbulah, Queensland, Australia,"Main St Dimbulah, Queensland, 4872 Australia",144.965865,-17.077389,,
Western Creek Homestead Cemetery,Western Creek, Queensland, Australia,"LOT 1 Western Creek Rd Western Creek, Queensland, 4357 Australia",151.093346,-27.828701,,
Woodford Cemetery,Woodford, Queensland, Australia,"Cemetery Rd Woodford, Australia, Queensland, 4514 Australia",152.786929611114,-26.9461318459077, Australia,
Wonglepong Cemetery,Wonglepong, Queensland, Australia,"LOT 1 Beaudesert-Nerang Rd Wonglepong, Queensland, 4275 Australia",153.164351,-27.977098,,
Weipa Cemetery,Weipa, Queensland, Australia,"6-8 Tonkin Road Weipa, Weipa Town, Queensland, 4873 Australia",141.89035662698,-12.623086121975, Weipa Town,
Wondai Cemetery,Wondai, Queensland, Australia,"LOT 85 Bunya Hwy Wondai, Queensland, 4606 Australia",151.867193,-26.289469,,
Fernmount ,Bellingen, New South Wales, Australia,"6A Mary Street Bellingen, Bellingen Shire Council, New South Wales Australia",152.899933,-30.453669, Bellingen Shire Council,
Fifield Cemetery,Fifield, New South Wales, Australia,"Wilga Ridge Road Fifield, Lachlan Shire Council, New South Wales, 2875 Australia",147.443401,-32.807314, Lachlan Shire Council,
Fennell Bay Cemetery,Fennell Bay, New South Wales, Australia,"LOT 1 Old Main Road Fennell Bay, New South Wales, 2283 Australia",151.59943,-32.98015,,
Welch Pioneer Park,Wongawallan, Queensland, Australia,"Lot 881 Tamborine Oxenford Road Wongawallan, Gold Coast City, Queensland, 4210 Australia",153.24680298471,-27.897003900126, Gold Coast City,
Windorah Cemetery,Windorah, Queensland, Australia,"LOT 2 Cecil St Windorah, Queensland, 4481 Australia",142.653271,-25.415886,,
Witta Cemetery,Witta, Queensland, Australia,"360 Cooke Rd Witta, Queensland, 4552 Australia",152.827222,-26.706111,,
Fenwicke Family graves,Walcha, New South Wales, Australia,"LOT 2 Moona Plains Rd Walcha, New South Wales, 2354 Australia",151.676218,-30.984502,,
Westwood Cemetery,Westwood, Queensland, Australia,"96 Westwood Cemetery Rd Westwood, Queensland, 4702 Australia",150.156883,-23.603966,,
Farnham Cemetery,Farnham, New South Wales, Australia,"143 Farnham Rd Farnham, New South Wales, 2820 Australia",149.087,-32.8445,,
Westbrook Cemetery,Westbrook, Queensland, Australia,"LOT 210 F G G Coupers Rd Westbrook, Queensland, 4350 Australia",151.800286,-27.60244,,
Winton Cemetery,Winton, Queensland, Australia,"LOT 1 Sesbania St Winton, Queensland, 4735 Australia",143.033131,-22.38369,,
Evans Head Cemetery,Evans Head, New South Wales, Australia,"Cnr Cemetery Rd & Woodburn St Evans Head, New South Wales, 2473 Australia",153.422184,-29.113887,,
Fairfield Baptist Church Graveyard,Sydney, New South Wales, Australia,"98-100 Smart Street Sydney, New South Wales, 2165 Australia",150.951937,-33.864826,,
West End Cemetery - Townsville,Townsville, Queensland, Australia,"33 Church Street Townsville, Queensland, 4810 Australia",146.801126,-19.26569,,
Evans Head,Evans Head, New South Wales, Australia,"Oak Lane Evans Head, Richmond Valley Council, New South Wales, 2473 Australia",153.4337087061,-29.118037829637, Richmond Valley Council,
Evans Head,Evans Head, New South Wales, Australia,"Cemetery Road Evans Head, Richmond Valley Council, New South Wales, 2473 Australia",153.42176210683,-29.109788381011, Richmond Valley Council,
Fairlight Cemetery,Glenquarry, New South Wales, Australia,"179 Tourist Rd Glenquarry, New South Wales, 2576 Australia",150.510368,-34.521224,,
Faulconbridge Cemetery,Sydney, New South Wales, Australia,"25 Sir Henrys Parade Sydney, New South Wales, 2776 Australia",150.535279,-33.697342,,
Eurobodalla Cemetery,Eurobodalla, New South Wales, Australia,"758 Eurobodalla Rd Eurobodalla, New South Wales, 2545 Australia",149.991166,-36.130701,,
Euratha Cemetery,Weethalle, New South Wales, Australia,"LOT 32 Lees Ln Weethalle, New South Wales, 2669 Australia",146.528649,-33.896958,,
Eungai Creek Cemetery,Eungai Creek, New South Wales, Australia,"132 Main St Eungai Creek, New South Wales, 2441 Australia",152.875013,-30.825196,,
Euroka Cemetery,Euroka, New South Wales, Australia,"249 Euroka Rd Euroka, New South Wales, 2440 Australia",152.803696,-31.073789,,
Eugowra Cemetery,Eugowra, New South Wales, Australia,"LOT 7096 Victoria St Eugowra, New South Wales, 2806 Australia",148.369117,-33.420105,,
Euston Cemetery,Euston, New South Wales, Australia,"Cowper Street Euston, Balranald Shire Council, New South Wales, 2737 Australia",142.73743914813,-34.585004920916, Balranald Shire Council,
Field of Mars Cemetery,Sydney, New South Wales, Australia,"3 Wellington Road Sydney, undefined, New South Wales, 2112 Australia 
                         
                    ",151.12635,-33.81269, undefined,https://nmclm.com.au/locations/field-of-mars/
Ridgehaven Cemetery,Adelaide, South Australia, Australia,"245 Stevens Drive Adelaide, Adelaide, South Australia, 5097 Australia",138.703111,-34.817103, Adelaide,
Eulah Creek Cemetery,Eulah Creek, New South Wales, Australia,"384 Eulah Creek Rd Eulah Creek, New South Wales, 2390 Australia",149.930334,-30.339843,,
Regency Farm Cemetery,Mount Barker, South Australia, Australia,"Bollen Road Mount Barker, Mount Barker District Council, South Australia, 5251 Australia",138.845441,-35.076964, Mount Barker District Council,
Robe Cemetery,Robe, South Australia, Australia,"129 Morphett Street Robe, District Council of Robe, South Australia, 5276 Australia",139.7507,-37.1677, District Council of Robe,
Riverton Pioneer Garden,Riverton, South Australia, Australia,"4 Torrens Rd Riverton, Light, South Australia, 5412 Australia",138.748567,-34.155618, Light,
Rosedale (Lutheran) Trinity Churchyard,Rosedale, South Australia, Australia,"491 Rosedale Road Rosedale, Light, South Australia, 5351 Australia 
                         
                    ",138.84656,-34.55796, Light,http://www.ozgenonline.com/~forever_remembered/rosenthal_lutheran.htm
Eumungerie General Cemetery,Eumungerie, New South Wales, Australia,"267 Mogriguy Rd Eumungerie, New South Wales, 2831 Australia",148.629999,-31.961738,,
Robertstown Zion Lutheran Cemetery,Robertstown, South Australia, Australia,"2547 Black Springs Rd Robertstown, Eyre, South Australia, 5381 Australia 
                         
                    ",139.075915,-33.98544, Eyre,http://www.robertstown.info/cemetries/cemzion.htm
Renmark Cemetery,Renmark West, South Australia, Australia,"Arumpo Street Renmark West, Renmark Paringa Council, South Australia, 5341 Australia 
                         
                    ",140.722526,-34.172376, Renmark Paringa Council,http://www.renmarkparinga.sa.gov.au/page.aspx?u=207
Riverton (Saint Peter) New Lutheran Churchyard,Riverton, South Australia, Australia,"99 Peters Hill Rd cnr Huppatz Rd Riverton, Light, South Australia, 5412 Australia",138.82386,-34.15405, Light,
Robertstown Saint John Lutheran Cemetery,Robertstown, South Australia, Australia,"Lot 182 Brady Rd Robertstown, Eyre, South Australia, 5381 Australia",139.0748,-33.99267, Eyre,
Riverton Cemetery,Riverton, South Australia, Australia,"1017 Barrier Hwy Riverton, Light, South Australia, 5412 Australia 
                         
                    ",138.745956,-34.140537, Light,http://www.claregilbertvalleys.sa.gov.au/page.aspx?u=132
Rendelsham Cemetery,Millicent, South Australia, Australia,"Lot 456 McCall Rd cnr Bevilaqua Rd Millicent, Grey, South Australia, 5280 Australia",140.22689,-37.5627, Grey,
Rhynie Cemetery,Rhynie, South Australia, Australia,"2 Milne St cnr Main North Rd Rhynie, Gawler, South Australia, 5412 Australia",138.688073,-34.141042, Gawler,
Radium Hill Cemetery,Oulnina, South Australia, Australia,"National Route 32 Oulnina, Pastoral Unincorporated Area, South Australia, 5440 Australia",140.606171,-32.328209, Pastoral Unincorporated Area,
Riverton Holy Trinity Anglican Church,Riverton, South Australia, Australia,"Webb Place Riverton, Light, South Australia, 5412 Australia",138.7475522037,-34.153198757214, Light,
Redhill (Saint Martin) Catholic Churchyard,Redhill, South Australia, Australia,"35 St Martins Rd Redhill, Daly, South Australia, 5521 Australia",138.22627,-33.54492, Daly,
Redhill Cemetery,Redhill, South Australia, Australia,"58 Old Cattle Trk Redhill, Daly, South Australia, 5521 Australia",138.238259,-33.557778, Daly,
Toombon Cemetery,Aberfeldy, Victoria, Australia,"LOT 6 Donnelly Creek Rd Aberfeldy, Victoria, 3825 Australia",146.398873,-37.737309,,
Tintaldra Cemetery,Pine Mountain, Victoria, Australia,"10686-10918 Murray River Rd Pine Mountain, Victoria, 3708 Australia",147.902541,-36.008392,,
Ramco Cemetery,Ramco, South Australia, Australia,"Ramco Road Ramco, The District Council of Loxton Waikerie, South Australia, 5322 Australia",139.932424,-34.168819, The District Council of Loxton Waikerie,
Raukkan Aboriginal Cemetery,Narrung, South Australia, Australia,"Taplin Street Narrung, Coorong District Council, South Australia, 5259 Australia",139.12616915477,-35.510475993945, Coorong District Council,
Thoona (Mokoan) Cemetery,Thoona, Victoria, Australia,"1373 Goorambat-Thoona Rd Thoona, Victoria, 3726 Australia",146.037,-36.381,,
The Springs Cemetery,Glenmaggie, Victoria, Australia,"Springs Rd Glenmaggie, Victoria, 3858 Australia",146.549075,-37.759379,,
Toongabbie,Toongabbie, Victoria, Australia,"30 Cemetery Rd Toongabbie, Victoria, 3856 Australia",146.616824,-38.063927,,
Tooan Cemetery,Mitre, Victoria, Australia,"41 Tooan-Duffholme Rd Mitre, Victoria, 3409 Australia",141.752429,-36.770534,,
Quorn lone grave,Quorn, South Australia, Australia,"Wolseley Terrace Quorn, The Flinders Ranges Council, South Australia, 5433 Australia",138.0388,-32.353, The Flinders Ranges Council,
Toolamba Cemetery,Toolamba, Victoria, Australia,"1620 River Rd Toolamba, Victoria, 3614 Australia",145.309745,-36.515635,,
Taylor family grave,Walhalla East, Victoria, Australia,"Springs Rd Walhalla East, Victoria, 3825 Australia",146.566114,-37.902363,,
Thorpdale/Childers Cemetery,Thorpdale 3835, Victoria, Australia,"277 Chute Rd Thorpdale 3835, Victoria, 3835 Australia",146.13662,-38.3092,,
Watsonville Cemetery,Watsonville, Queensland, Australia,"LOT 116 Herberton-Petford Rd Watsonville, Queensland, 4887 Australia",145.308229,-17.374949,,
Thoona War Memorial,Thoona, Victoria, Australia,"47 Sargeant Street Thoona, Victoria Australia",146.077833,-36.339328,,
Timor (Bowenvale) Cemetery,Bowenvale, Victoria, Australia,"LOT 18E Cemetery Rd Bowenvale, Victoria, 3465 Australia",143.705941,-36.989078,,
The Bendigo Joss House ,Bendigo, Victoria, Australia,"3a Finn Street Bendigo, Victoria, 3550 Australia",144.291602,-36.739684,,
Thoona Cemetery,Thoona, Victoria, Australia,"129 Sargeant St Thoona, Victoria, 3726 Australia",146.081943,-36.333506,,
Thomastown Cemetery,Melbourne, Victoria, Australia,"41 Rosedale Drive Melbourne, Victoria, 3075 Australia",145.007306,-37.670914,,
Teesdale Cemetery,Teesdale, Victoria, Australia,"5-13 Squires Road Teesdale, Victoria, 3328 Australia",144.04114872887,-38.013705549779,,
Warra Cemetery,Warra, Queensland, Australia,"LOT 64 Warrego Hwy Warra, Queensland, 4411 Australia",150.922592,-26.936889,,
Tongala Cemetery,Tongala, Victoria, Australia,"415 Day Road Tongala, Victoria, 3621 Australia",144.96573,-36.27568,,
"Templestowe Cemetery, Victoria, Australia",Melbourne, Victoria, Australia,"263 Foote Street Melbourne, City of Manningham, Victoria, 3106 Australia 
                         
                    ",145.14166519027,-37.759537401036, City of Manningham,https://www.gmct.com.au/our-locations/templestowe-cemetery
Wandoan Cemetery,Wandoan, Queensland, Australia,"LOT 133 Leichhardt Hwy Wandoan, Queensland, 4419 Australia",149.935849,-26.078626,,
Thomastown Wesleyan Cemetery,Melbourne, Victoria, Australia,"1a Stewart Street Melbourne, Victoria, 3074 Australia",145.011829,-37.680896,,
Terang Victoria Australia,Terang, Victoria, Australia,"124 Cemetery Rd,  Terang, Corangamite Shire, Victoria, 3265 Australia",142.909627694397,-38.2523298889786, Corangamite Shire,
Templestowe Cemetery,Melbourne, Victoria, Australia,"263 Foote Street Melbourne, City of Manningham, Victoria, 3106 Australia 
                         
                    ",145.140722,-37.759746, City of Manningham,https://www.gmct.com.au/our-locations/templestowe-cemetery
Wallumbilla Cemetery,Wallumbilla, Queensland, Australia,"LOT 195 Wallumbilla North Rd Wallumbilla, Queensland, 4428 Australia",149.187008,-26.573119,,
Vernor German Baptist Cemetery,Vernor, Queensland, Australia,"83 Old Fernvale Rd Vernor, Queensland, 4306 Australia",152.628444,-27.456004,,
Warwick Cemetery,Warwick, Queensland, Australia,"LOT 405 Wentworth St Warwick, Queensland, 4370 Australia",152.003338,-28.21001,,
Upper Freestone Cemetery,Upper Freestone, Queensland, Australia,"LOT 79 McMasters Rd Upper Freestone, Queensland, 4370 Australia",152.198576,-28.135968,,
Tummaville Cemetery,Tummaville, Queensland, Australia,"LOT 1 Owens Scrub Rd Tummaville, Queensland, 4352 Australia",151.428002,-27.873291,,
Tully New Cemetery *,Tully, Queensland, Australia,"LOT 5 Campbell Street Tully, Queensland, 4854 Australia",145.91961,-17.94659,,
Essington - Brisbane Valley Catholic Cemetery,Essington, New South Wales, Australia,"LOT 22 Gradys Ln Essington, New South Wales, 2795 Australia",149.735788,-33.735975,,
Euchareena Cemetery,Euchareena, New South Wales, Australia,"LOT 162 Euchareena Rd Euchareena, New South Wales, 2866 Australia",149.083121,-32.946526,,
Euabalong Church/graveyard,Euabalong, New South Wales, Australia,"Lachlan Street Euabalong, Cobar Shire Council, New South Wales, 2877 Australia",146.472516,-33.109121, Cobar Shire Council,
Wallangarra Cemetery,Wallangarra, Queensland, Australia,"LOT 186 Bengalla St Wallangarra, Queensland, 4383 Australia",151.921592,-28.919899,,
Euabalong Cemetery,Euabalong, New South Wales, Australia,"LOT 49 Murrin St Euabalong, Cobar Shire Council, New South Wales, 2877 Australia",146.453976,-33.108797, Cobar Shire Council,
Erigolia Cemetery,Rankins Springs, New South Wales, Australia,"LOT 79 Mid Western Hwy Rankins Springs, Carrathool Shire Council, New South Wales, 2669 Australia",146.372401,-33.851578, Carrathool Shire Council,
Walkerston Cemetery,Walkerston, Queensland, Australia,"LOT 226 Dutton St Walkerston, Queensland, 4751 Australia",149.078582,-21.161371,,
Waiben (Thursday) Island Cemetery,Thursday Island, Queensland, Australia,"LOT 192 Aplin Rd Thursday Island, Queensland, 4875 Australia",142.217365,-10.577162,,
Warrill Park Lawn Cemetery,Willowbank, Queensland, Australia,"Willowbank Willowbank, Queensland, 4306 Australia",152.68885,-27.68032,,
Upper Coomera Cemetery - Gold Coast,Gold Coast, Queensland, Australia,"14 Saville Road Gold Coast, Queensland, 4209 Australia",153.277194,-27.895073,,
Upper Caboolture Uniting Church Cemetery,Brisbane, Queensland, Australia,"561 Caboolture River Road Brisbane, Queensland, 4510 Australia",152.89494669577,-27.1071721392719,,
Tully Old Cemetery,Tully, Queensland, Australia,"LOT 5 Campbell Street Tully, Queensland, 4854 Australia",145.91936,-17.94731,,
Tygum (Apostolic) Church/pioneer graveyard,Brisbane, Queensland, Australia,"109 Tygum Road Brisbane, Queensland, 4133 Australia",153.134453,-27.700246,,
USAF Memorial - Manson Park,Brisbane, Queensland, Australia,"19 Cemetery Road Brisbane, Queensland, 4305 Australia",152.766261,-27.632359,,
Elong Elong Cemetery,Elong Elong, New South Wales, Australia,"3594 Golden Hwy Elong Elong, New South Wales, 2831 Australia",149.087701,-32.111848,,
Elsmore Cemetery,Elsmore, New South Wales, Australia,"1115 Elsmore Rd Elsmore, New South Wales, 2360 Australia",151.267362,-29.802201,,
Victoria Plantation Cemetery,Victoria Plantation, Queensland, Australia,"LOT 3 Forrest Beach Road Victoria Plantation, Queensland, 4850 Australia",146.209331,-18.656097,,
Edgehill Lutheran Church Cemetery,Henty, New South Wales, Australia,"LOT 125 Edgehill Cemetery Rd Henty, New South Wales, 2658 Australia",146.953297,-35.523251,,
Erskine Flat Cemetery,Sofala, New South Wales, Australia,"86-260 Upper Turnon Rd Sofala, New South Wales, 2795 Australia",149.700573,-33.086298,,
Emmaville Cemetery,Emmaville, New South Wales, Australia,"LOT 2 Cadell St Emmaville, New South Wales, 2371 Australia",151.593239,-29.442606,,
Enfield (Saint Thomas) Anglican Churchyard,Sydney, New South Wales, Australia,"King Street Sydney, Burwood Council, New South Wales, 2136 Australia",151.09166,-33.89121, Burwood Council,
Ellenborough Cemetery,Ellenborough, New South Wales, Australia,"5680 Oxley Hwy Ellenborough, New South Wales, 2446 Australia",152.445981,-31.442216,,
Emu Plains - Saint Paul's Anglican Church Graveyard,Sydney, New South Wales, Australia,"21 Nixon Street Sydney, New South Wales, 2750 Australia",150.65917,-33.74871,,
Eccleston - Saint Paul Anglican Church Graveyard,Eccleston, New South Wales, Australia,"2413 Allyn River Rd Eccleston, New South Wales, 2311 Australia",151.49667,-32.26278,,
ECHUCA CEMETERY,Arumpo, New South Wales, Australia,"Gol Gol Road Arumpo, Balranald Shire Council, New South Wales, 2715 Australia",143.27137141217,-33.511034995386, Balranald Shire Council,
